Number,Strata,Lag,AirPoll,Beta,StdError,P-Value
1,All,0,EAQHI,-0.079096,0.007993,7.62E-23
2,Female,0,EAQHI,-0.073372,0.008346,2.11E-18
3,Male,0,EAQHI,-0.084111,0.011712,8.10E-13
4,Warm All,0,EAQHI,-0.066627,0.017277,0.000116745
5,Warm Female,0,EAQHI,-0.061611,0.017333,0.000382871
6,Warm Male,0,EAQHI,-0.074145,0.020340,0.000270286
7,Cold All,0,EAQHI,-0.108967,0.031842,0.000627217
8,Cold Female,0,EAQHI,-0.101638,0.033201,0.002217628
9,Cold Male,0,EAQHI,-0.108978,0.038099,0.00425212
10,Age 0-10 All,0,EAQHI,-0.125007,0.015349,4.96E-16
11,Age 0-10 Female,0,EAQHI,-0.135267,0.021672,4.76E-10
12,Age 0-10 Male,0,EAQHI,-0.116557,0.020375,1.13E-08
13,Age 11-60 All,0,EAQHI,-0.061838,0.009155,1.63E-11
14,Age 11-60 Female,0,EAQHI,-0.060852,0.011370,9.16E-08
15,Age 11-60 Male,0,EAQHI,-0.063489,0.014286,9.05E-06
16,Age 60+All,0,EAQHI,-0.081522,0.022486,0.000291853
17,Age 60+ Female,0,EAQHI,-0.069254,0.027180,0.01086889
18,Age 60+ Male,0,EAQHI,-0.106271,0.039046,0.006522024
19,All,1,EAQHI,-0.062907,0.007967,3.64E-15
20,Female,1,EAQHI,-0.059068,0.008319,1.45E-12
21,Male,1,EAQHI,-0.059979,0.011639,2.67E-07
22,Warm All,1,EAQHI,-0.048476,0.017494,0.005613537
23,Warm Female,1,EAQHI,-0.047381,0.017651,0.007294701
24,Warm Male,1,EAQHI,-0.045186,0.020499,0.0275559
25,Cold All,1,EAQHI,-0.097367,0.025349,0.000124277
26,Cold Female,1,EAQHI,-0.088373,0.025488,0.00053102
27,Cold Male,1,EAQHI,-0.094490,0.029529,0.001384904
28,Age 0-10 All,1,EAQHI,-0.091807,0.015174,1.57E-09
