Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,-0.07909597,0.007992835,0.923951249,0.909589458,0.938540,-0.2493868,0.06165357,0.97536972,0.963654183,0.987228,0.003286891,0.000855111,1.042969783,1.020833224,1.065586,-0.003437701,0.001109206,0.977902745,0.964180905,0.991820
Female,-0.07337217,0.008346153,0.929254925,0.914177404,0.944581,-0.219192677,0.06442702,0.978319214,0.96604297,0.990751,0.003422816,0.000893215,1.044785963,1.021633755,1.068463,-0.003224823,0.0011571,0.979256813,0.964927024,0.993799
Male,-0.08411123,0.01171235,0.919328993,0.898465082,0.940677,-0.286258308,0.089762879,0.971780007,0.954832492,0.989028,0.003574941,0.001243124,1.046822353,1.014678435,1.079985,-0.004105268,0.001621957,0.973668637,0.953755458,0.993998
Warm All,-0.066627369,0.017276952,0.935543749,0.90439398,0.967766,-0.477289683,0.15746609,0.953392152,0.924416712,0.983276,0.02410021,0.001766829,1.361357942,1.302331972,1.423059,-0.02613789,0.002770873,0.843752322,0.814486678,0.874070
Warm Female,-0.061610616,0.017333409,0.940248933,0.908841927,0.972741,-0.4369873,0.1582221,0.957242302,0.928012328,0.987393,0.02394719,0.001776138,1.358694119,1.299480127,1.420606,-0.02537037,0.002775464,0.847972218,0.818512331,0.878492
Warm Male,-0.074144861,0.020340036,0.928537175,0.892247845,0.966302,-0.535540491,0.18527344,0.947854709,0.914052158,0.982907,0.02348651,0.002104522,1.350705877,1.281240924,1.423937,-0.02656466,0.003278861,0.841414992,0.806990826,0.877308
Cold All,-0.108966556,0.031842013,0.896760408,0.842503973,0.954511,-0.118831,0.1915803,0.988187225,0.951769078,1.025999,-0.02492836,0.002989025,0.726815215,0.674305729,0.783414,0.0223456,0.003324191,1.156324454,1.108376361,1.206347
Cold Female,-0.101637772,0.03320111,0.903356714,0.846443396,0.964097,-0.09108557,0.20040679,0.9909328,0.952763769,1.030631,-0.02475348,0.003124148,0.728443987,0.673529712,0.787836,0.02252714,0.003481364,1.157689733,1.107465236,1.210192
Cold Male,-0.10897795,0.03809941,0.896750191,0.832224707,0.966279,-0.140845,0.2303558,0.986014223,0.942485978,1.031553,-0.02272402,0.003570649,0.747614763,0.683555178,0.817678,0.0209067,0.004035198,1.145559942,1.08815666,1.205991
Age 0-10 All,-0.1250068,0.01534893,0.882490902,0.856337502,0.909443,-0.5610565,0.1162818,0.945439245,0.924135214,0.967234,0.00398217,0.001595858,1.052293193,1.010994895,1.095278,-0.007023324,0.002112198,0.955374751,0.930009006,0.981432
Age 0-10 Female,-0.1352673,0.02167249,0.873482399,0.837155553,0.911386,-0.7092233,0.1645762,0.931534242,0.901965268,0.962073,0.005836893,0.002230017,1.077574013,1.018942744,1.139579,-0.009701288,0.002990122,0.938888667,0.90379517,0.975345
Age 0-10 Male,-0.1165571,0.02037461,0.889979278,0.855138927,0.926239,-0.440032177,0.153234025,0.956950878,0.928637253,0.986128,0.002432657,0.002122428,1.031627869,0.978133159,1.088048,-0.004825279,0.002781071,0.969122444,0.935386788,1.004075
Age 11-60 All,-0.06183772,0.00915522,0.940035423,0.923317653,0.957056,-0.11673042,0.07046049,0.988394824,0.974838661,1.002139,0.002773271,0.000984037,1.03613544,1.010868991,1.062033,-0.002211024,0.001265566,0.985731123,0.969965314,1.001753
Age 11-60 Female,-0.06085199,0.01137014,0.940962501,0.92022464,0.962168,-0.06610628,0.08698883,0.993411174,0.976617275,1.010494,0.00187522,0.001222353,1.024293202,0.993358576,1.056191,-0.001298842,0.001560815,0.991593065,0.972070199,1.011508
Age 11-60 Male,-0.06348851,0.01428645,0.938484902,0.912570486,0.965135,-0.20295171,0.11021062,0.97990939,0.958969074,1.001307,0.004287566,0.001526415,1.05641473,1.016724459,1.097654,-0.003777666,0.001985518,0.975744188,0.951371807,1.000741
Age 60+All,-0.081521979,0.022486244,0.921712451,0.881971958,0.963244,-0.34344724,0.17462955,0.966238362,0.933726121,0.999883,0.004960689,0.002377876,1.065556096,1.003848051,1.131057,-0.002736156,0.003087044,0.982372206,0.944486435,1.021778
Age 60+ Female,-0.06925369,0.02717963,0.933089934,0.884683111,0.984145,-0.38615642,0.21254585,0.962120437,0.922862867,1.003048,0.005873566,0.002886414,1.078079961,1.002771123,1.159045,-0.002344007,0.003727452,0.984879436,0.939202861,1.032777
Age 60+ Male,-0.106270764,0.039046482,0.899181149,0.83293317,0.970698,-0.2579361,0.2985475,0.974536203,0.919147269,1.033263,0.003131313,0.004088309,1.040894882,0.939425567,1.153324,-0.003549311,0.005360018,0.977193568,0.912691684,1.046254
All: LAG 1,-0.06290713,0.007967325,0.939030677,0.924480716,0.953810,-0.15097974,0.06121494,0.985015429,0.973267704,0.996905,0.000183166,0.00085935,1.002347275,0.98096858,1.024192,-0.002686993,0.001103482,0.982686182,0.96896788,0.996599
Female,-0.05906845,0.008318574,0.942642243,0.927397637,0.958137,-0.11927336,0.06398905,0.988143513,0.975827754,1.000615,7.32E-05,0.000898443,1.000936803,0.978627917,1.023754,-0.002544539,0.001152357,0.983596523,0.969261797,0.998143
Male,-0.05997863,0.01163873,0.941784659,0.920543943,0.963515,-0.13027728,0.08878724,0.987056766,0.970028305,1.004384,0.000201147,0.001249773,1.002577999,0.971630565,1.034511,-0.002057694,0.001600795,0.986714037,0.966794674,1.007044
Warm All,-0.048475838,0.01749434,0.952680358,0.92056769,0.985913,-0.34156783,0.15986182,0.966419975,0.936608694,0.997180,0.02215699,0.001828246,1.327914242,1.268382462,1.390240,-0.02573051,0.002819685,0.845989513,0.816138587,0.876932
Warm Female,-0.047381068,0.017650735,0.953723895,0.921293601,0.987296,-0.31540526,0.16141674,0.968951688,0.938776162,1.000097,0.02172881,0.001844484,1.320656245,1.260936064,1.383205,-0.0253872,0.002841553,0.84787946,0.817733995,0.879136
Warm Male,-0.04518623,0.02049908,0.955819463,0.918177615,0.995004,-0.3322408,0.1872832,0.967321778,0.93245761,1.003490,0.02227736,0.002161853,1.329961784,1.259750443,1.404086,-0.02402872,0.003297389,0.855399489,0.820209556,0.892099
Cold All,-0.09736663,0.025348893,0.90722333,0.863250416,0.953436,-0.05850713,0.15135649,0.994166369,0.965106728,1.024101,-0.0295972,0.002464172,0.684652301,0.643608082,0.728314,0.02331458,0.002665524,1.163630396,1.12477835,1.203824
Cold Female,-0.088373129,0.025488078,0.915419244,0.870811484,0.962312,-0.02120478,0.15237856,0.997881769,0.968519487,1.028134,-0.02967837,0.002490937,0.683941333,0.642508159,0.728046,0.02368565,0.002690205,1.166440408,1.12714007,1.207111
Cold Male,-0.094490151,0.029529307,0.909836696,0.858672581,0.964049,-0.03622584,0.17650549,0.99638397,0.96250342,1.031457,-0.02893243,0.002872776,0.690502902,0.642487892,0.742106,0.02246643,0.003123755,1.157232982,1.112083359,1.204216
Age 0-10 All,-0.09180704,0.01517427,0.912281166,0.885548007,0.939821,-0.407463241,0.115137035,0.960072646,0.938649459,0.981985,0.000888265,0.001600743,1.011434674,0.971620825,1.052880,-0.003971577,0.002079459,0.974515114,0.949036938,1.000677
Age 0-10 Female,-0.09661088,0.02134203,0.907909223,0.870714397,0.946693,-0.475588841,0.162212432,0.953554322,0.923714239,0.984358,0.000870042,0.002240677,1.01119878,0.955923331,1.069670,-0.004408935,0.002921919,0.97174867,0.936240093,1.008604
Age 0-10 Male,-0.08777709,0.0201321,0.915965032,0.880525839,0.952831,-0.35104354,0.15205758,0.965504657,0.937154015,0.994713,0.000908017,0.002124652,1.011690423,0.959176043,1.067080,-0.003601965,0.002752414,0.97685918,0.943198494,1.011721
Age 11-60 All,-0.04838434,0.009124944,0.95276753,0.935878863,0.969961,-0.03505564,0.07008924,0.996500573,0.982904756,1.010284,-0.000148423,0.000988796,0.998101989,0.973646743,1.023171,-0.002000621,0.001263456,0.987080151,0.971318875,1.003097
Age 11-60 Female,-0.05137073,0.01133439,0.949926439,0.929056119,0.971266,-0.03944406,0.08696279,0.996063363,0.979229626,1.013186,-0.000288706,0.00122652,0.996311383,0.966120829,1.027445,-0.002050452,0.001566852,0.986760486,0.96725837,1.006656
